utc_timestamp;cet_cest_timestamp;GB_GBN_price_day_ahead
01-01-2015 00:00;01-01-2015 00:00;
01-01-2015 01:00;01-01-2015 01:00;
01-01-2015 02:00;01-01-2015 02:00;
01-01-2015 03:00;01-01-2015 03:00;
01-01-2015 04:00;01-01-2015 04:00;
01-01-2015 05:00;01-01-2015 05:00;
01-01-2015 06:00;01-01-2015 06:00;
01-01-2015 07:00;01-01-2015 07:00;
01-01-2015 08:00;01-01-2015 08:00;
01-01-2015 09:00;01-01-2015 09:00;
01-01-2015 10:00;01-01-2015 10:00;
01-01-2015 11:00;01-01-2015 11:00;
01-01-2015 12:00;01-01-2015 12:00;
01-01-2015 13:00;01-01-2015 13:00;
01-01-2015 14:00;01-01-2015 14:00;
01-01-2015 15:00;01-01-2015 15:00;
01-01-2015 16:00;01-01-2015 16:00;
01-01-2015 17:00;01-01-2015 17:00;
01-01-2015 18:00;01-01-2015 18:00;
01-01-2015 19:00;01-01-2015 19:00;
01-01-2015 20:00;01-01-2015 20:00;
01-01-2015 21:00;01-01-2015 21:00;
01-01-2015 22:00;01-01-2015 22:00;
01-01-2015 23:00;01-01-2015 23:00;
02-01-2015 00:00;02-01-2015 00:00;
02-01-2015 01:00;02-01-2015 01:00;2794
02-01-2015 02:00;02-01-2015 02:00;255
02-01-2015 03:00;02-01-2015 03:00;2092
02-01-2015 04:00;02-01-2015 04:00;1738
02-01-2015 05:00;02-01-2015 05:00;1985
02-01-2015 06:00;02-01-2015 06:00;2067
02-01-2015 07:00;02-01-2015 07:00;2536
02-01-2015 08:00;02-01-2015 08:00;32
02-01-2015 09:00;02-01-2015 09:00;3509
02-01-2015 10:00;02-01-2015 10:00;3934
02-01-2015 11:00;02-01-2015 11:00;3745
02-01-2015 12:00;02-01-2015 12:00;3973
02-01-2015 13:00;02-01-2015 13:00;4407
02-01-2015 14:00;02-01-2015 14:00;3982
02-01-2015 15:00;02-01-2015 15:00;3654
02-01-2015 16:00;02-01-2015 16:00;3652
02-01-2015 17:00;02-01-2015 17:00;4797
02-01-2015 18:00;02-01-2015 18:00;80
02-01-2015 19:00;02-01-2015 19:00;5672
02-01-2015 20:00;02-01-2015 20:00;3713
02-01-2015 21:00;02-01-2015 21:00;4452
02-01-2015 22:00;02-01-2015 22:00;3709
02-01-2015 23:00;02-01-2015 23:00;3686
03-01-2015 00:00;03-01-2015 00:00;3577
03-01-2015 01:00;03-01-2015 01:00;3594
03-01-2015 02:00;03-01-2015 02:00;3565
03-01-2015 03:00;03-01-2015 03:00;3302
03-01-2015 04:00;03-01-2015 04:00;32
03-01-2015 05:00;03-01-2015 05:00;3172
03-01-2015 06:00;03-01-2015 06:00;3593
03-01-2015 07:00;03-01-2015 07:00;3595
03-01-2015 08:00;03-01-2015 08:00;3603
03-01-2015 09:00;03-01-2015 09:00;3742
03-01-2015 10:00;03-01-2015 10:00;3993
03-01-2015 11:00;03-01-2015 11:00;4505
03-01-2015 12:00;03-01-2015 12:00;4496
03-01-2015 13:00;03-01-2015 13:00;4491
03-01-2015 14:00;03-01-2015 14:00;4159
03-01-2015 15:00;03-01-2015 15:00;3657
03-01-2015 16:00;03-01-2015 16:00;4065
03-01-2015 17:00;03-01-2015 17:00;5792
03-01-2015 18:00;03-01-2015 18:00;7434
03-01-2015 19:00;03-01-2015 19:00;5713
03-01-2015 20:00;03-01-2015 20:00;4203
03-01-2015 21:00;03-01-2015 21:00;4402
03-01-2015 22:00;03-01-2015 22:00;4404
03-01-2015 23:00;03-01-2015 23:00;3658
04-01-2015 00:00;04-01-2015 00:00;4001
04-01-2015 01:00;04-01-2015 01:00;4001
04-01-2015 02:00;04-01-2015 02:00;5146
04-01-2015 03:00;04-01-2015 03:00;3607
04-01-2015 04:00;04-01-2015 04:00;3538
04-01-2015 05:00;04-01-2015 05:00;3229
04-01-2015 06:00;04-01-2015 06:00;321
04-01-2015 07:00;04-01-2015 07:00;34
04-01-2015 08:00;04-01-2015 08:00;3197
04-01-2015 09:00;04-01-2015 09:00;3537
04-01-2015 10:00;04-01-2015 10:00;3659
04-01-2015 11:00;04-01-2015 11:00;3889
04-01-2015 12:00;04-01-2015 12:00;4709
04-01-2015 13:00;04-01-2015 13:00;5405
04-01-2015 14:00;04-01-2015 14:00;499
04-01-2015 15:00;04-01-2015 15:00;3851
04-01-2015 16:00;04-01-2015 16:00;3702
04-01-2015 17:00;04-01-2015 17:00;5669
04-01-2015 18:00;04-01-2015 18:00;7998
04-01-2015 19:00;04-01-2015 19:00;5492
04-01-2015 20:00;04-01-2015 20:00;4596
04-01-2015 21:00;04-01-2015 21:00;41
04-01-2015 22:00;04-01-2015 22:00;4098
04-01-2015 23:00;04-01-2015 23:00;3591
05-01-2015 00:00;05-01-2015 00:00;3658
05-01-2015 01:00;05-01-2015 01:00;3655
05-01-2015 02:00;05-01-2015 02:00;3607
05-01-2015 03:00;05-01-2015 03:00;355
05-01-2015 04:00;05-01-2015 04:00;3429
05-01-2015 05:00;05-01-2015 05:00;3043
05-01-2015 06:00;05-01-2015 06:00;3518
05-01-2015 07:00;05-01-2015 07:00;3851
05-01-2015 08:00;05-01-2015 08:00;4112
05-01-2015 09:00;05-01-2015 09:00;4325
05-01-2015 10:00;05-01-2015 10:00;5146
05-01-2015 11:00;05-01-2015 11:00;5121
05-01-2015 12:00;05-01-2015 12:00;4298
05-01-2015 13:00;05-01-2015 13:00;4512
05-01-2015 14:00;05-01-2015 14:00;3748
05-01-2015 15:00;05-01-2015 15:00;3706
05-01-2015 16:00;05-01-2015 16:00;3706
05-01-2015 17:00;05-01-2015 17:00;5497
05-01-2015 18:00;05-01-2015 18:00;9073
05-01-2015 19:00;05-01-2015 19:00;5851
05-01-2015 20:00;05-01-2015 20:00;4243
05-01-2015 21:00;05-01-2015 21:00;3658
05-01-2015 22:00;05-01-2015 22:00;3898
05-01-2015 23:00;05-01-2015 23:00;3605
06-01-2015 00:00;06-01-2015 00:00;3601
06-01-2015 01:00;06-01-2015 01:00;3602
06-01-2015 02:00;06-01-2015 02:00;3549
06-01-2015 03:00;06-01-2015 03:00;3291
06-01-2015 04:00;06-01-2015 04:00;3012
06-01-2015 05:00;06-01-2015 05:00;2978
06-01-2015 06:00;06-01-2015 06:00;3347
06-01-2015 07:00;06-01-2015 07:00;3896
06-01-2015 08:00;06-01-2015 08:00;3778
06-01-2015 09:00;06-01-2015 09:00;3881
06-01-2015 10:00;06-01-2015 10:00;4095
06-01-2015 11:00;06-01-2015 11:00;4394
06-01-2015 12:00;06-01-2015 12:00;4234
06-01-2015 13:00;06-01-2015 13:00;4558
06-01-2015 14:00;06-01-2015 14:00;4457
06-01-2015 15:00;06-01-2015 15:00;3659
06-01-2015 16:00;06-01-2015 16:00;3653
06-01-2015 17:00;06-01-2015 17:00;512
06-01-2015 18:00;06-01-2015 18:00;7592
06-01-2015 19:00;06-01-2015 19:00;5669
06-01-2015 20:00;06-01-2015 20:00;4347
06-01-2015 21:00;06-01-2015 21:00;4209
06-01-2015 22:00;06-01-2015 22:00;4027
06-01-2015 23:00;06-01-2015 23:00;361
