Date,Appliances,Relation,Appliance start times
01-01,['kitchen_lights', 'microwave'],>,['13:15:00', '13:30:00']
01-01,['tv', 'kitchen_lights'],>,['14:00:00', '14:45:00']
01-01,['tv', 'kitchen_lights'],>,['14:00:00', '16:00:00']
01-01,['tv', 'kitchen_lights'],>,['19:00:00', '19:30:00']
01-01,['tv', 'kitchen_lights'],>,['19:00:00', '20:45:00']
01-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['11:30:00', '13:15:00']
01-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['11:30:00', '14:45:00']
01-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['11:30:00', '16:00:00']
01-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['11:30:00', '17:15:00']
01-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['11:30:00', '19:30:00']
01-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['11:30:00', '20:45:00']
01-01,['amp_livingroom', 'kitchen_lights'],>,['11:30:00', '13:15:00']
01-01,['amp_livingroom', 'kitchen_lights'],>,['11:30:00', '14:45:00']
01-01,['amp_livingroom', 'kitchen_lights'],>,['11:30:00', '16:00:00']
01-01,['amp_livingroom', 'kitchen_lights'],>,['19:00:00', '19:30:00']
01-01,['amp_livingroom', 'kitchen_lights'],>,['19:00:00', '20:45:00']
01-01,['amp_livingroom', 'tv'],>,['11:30:00', '11:30:00']
01-01,['amp_livingroom', 'tv'],>,['11:30:00', '14:00:00']
01-01,['subwoofer_livingroom', 'kitchen_lights'],>,['11:30:00', '13:15:00']
01-01,['subwoofer_livingroom', 'kitchen_lights'],>,['11:30:00', '14:45:00']
01-01,['subwoofer_livingroom', 'kitchen_lights'],>,['11:30:00', '16:00:00']
01-01,['subwoofer_livingroom', 'kitchen_lights'],>,['11:30:00', '17:15:00']
01-01,['subwoofer_livingroom', 'kitchen_lights'],>,['11:30:00', '19:30:00']
01-01,['subwoofer_livingroom', 'kitchen_lights'],>,['11:30:00', '20:45:00']
01-01,['subwoofer_livingroom', 'tv'],>,['11:30:00', '11:30:00']
01-01,['subwoofer_livingroom', 'tv'],>,['11:30:00', '14:00:00']
01-02,['kitchen_lights', 'microwave'],>,['12:30:00', '13:15:00']
01-02,['tv', 'kitchen_lights'],>,['19:15:00', '19:15:00']
01-02,['tv', 'kitchen_lights'],>,['19:15:00', '20:00:00']
01-02,['tv', 'kitchen_lights'],>,['19:15:00', '20:30:00']
01-02,['tv', 'kitchen_lights'],>,['19:15:00', '21:00:00']
01-02,['tv', 'kitchen_lights'],>,['19:15:00', '21:45:00']
01-02,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:15:00', '17:00:00']
01-02,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:15:00', '19:15:00']
01-02,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:15:00', '20:00:00']
01-02,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:15:00', '20:30:00']
01-02,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:15:00', '21:00:00']
01-02,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:15:00', '21:45:00']
01-02,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '19:15:00']
01-02,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '20:00:00']
01-02,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '20:30:00']
01-02,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '21:00:00']
01-02,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '21:45:00']
01-02,['amp_livingroom', 'tv'],>,['16:15:00', '16:15:00']
01-02,['amp_livingroom', 'tv'],>,['16:15:00', '17:00:00']
01-02,['amp_livingroom', 'tv'],>,['19:15:00', '19:15:00']
01-02,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '17:00:00']
01-02,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '19:15:00']
01-02,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '20:00:00']
01-02,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '20:30:00']
01-02,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '21:00:00']
01-02,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '21:45:00']
01-02,['subwoofer_livingroom', 'tv'],>,['16:15:00', '16:15:00']
01-02,['subwoofer_livingroom', 'tv'],>,['16:15:00', '17:00:00']
01-02,['htpc', 'kitchen_lights'],>,['19:15:00', '19:15:00']
01-02,['htpc', 'kitchen_lights'],>,['19:15:00', '20:00:00']
01-02,['htpc', 'kitchen_lights'],>,['19:15:00', '20:30:00']
01-02,['htpc', 'kitchen_lights'],>,['19:15:00', '21:00:00']
01-02,['htpc', 'kitchen_lights'],>,['19:15:00', '21:45:00']
01-02,['htpc', 'tv'],>,['17:00:00', '17:00:00']
01-02,['htpc', 'tv'],>,['19:15:00', '19:15:00']
01-02,['gigE_&_USBhub', 'hifi_office'],>,['10:00:00', '10:00:00']
01-02,['gigE_&_USBhub', 'lcd_office'],>,['10:00:00', '10:00:00']
01-02,['gigE_&_USBhub', 'laptop'],>,['10:00:00', '10:00:00']
01-02,['laptop', 'lcd_office'],>,['10:00:00', '10:00:00']
01-03,['tv', 'kitchen_lights'],>,['16:15:00', '16:15:00']
01-03,['tv', 'kitchen_lights'],>,['19:30:00', '21:45:00']
01-03,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:30:00', '21:45:00']
01-03,['amp_livingroom', 'kitchen_lights'],>,['16:15:00', '16:15:00']
01-03,['amp_livingroom', 'kitchen_lights'],>,['16:15:00', '17:00:00']
01-03,['amp_livingroom', 'kitchen_lights'],>,['16:15:00', '19:15:00']
01-03,['amp_livingroom', 'kitchen_lights'],>,['16:15:00', '21:45:00']
01-03,['amp_livingroom', 'tv'],>,['13:15:00', '13:15:00']
01-03,['amp_livingroom', 'tv'],>,['16:15:00', '16:15:00']
01-03,['amp_livingroom', 'tv'],>,['16:15:00', '19:30:00']
01-03,['amp_livingroom', 'subwoofer_livingroom'],>,['13:15:00', '13:30:00']
01-03,['amp_livingroom', 'subwoofer_livingroom'],>,['16:15:00', '16:15:00']
01-03,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '16:15:00']
01-03,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '17:00:00']
01-03,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '19:15:00']
01-03,['subwoofer_livingroom', 'kitchen_lights'],>,['16:15:00', '21:45:00']
01-03,['subwoofer_livingroom', 'tv'],>,['16:15:00', '16:15:00']
01-03,['subwoofer_livingroom', 'tv'],>,['16:15:00', '19:30:00']
01-03,['htpc', 'kitchen_lights'],>,['19:30:00', '21:45:00']
01-03,['htpc', 'tv'],>,['13:15:00', '13:15:00']
01-03,['htpc', 'subwoofer_livingroom'],>,['13:15:00', '13:30:00']
01-03,['lcd_office', 'office_lamp3'],>,['07:45:00', '07:45:00']
01-03,['lcd_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-03,['gigE_&_USBhub', 'hifi_office'],>,['19:45:00', '21:15:00']
01-03,['gigE_&_USBhub', 'lcd_office'],>,['07:45:00', '07:45:00']
01-03,['gigE_&_USBhub', 'lcd_office'],>,['19:45:00', '19:45:00']
01-03,['gigE_&_USBhub', 'laptop'],>,['07:45:00', '07:45:00']
01-03,['gigE_&_USBhub', 'laptop'],>,['19:45:00', '19:45:00']
01-03,['gigE_&_USBhub', 'office_lamp3'],>,['07:45:00', '07:45:00']
01-03,['gigE_&_USBhub', 'office_lamp3'],>,['19:45:00', '19:45:00']
